,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
365,Kiribati,,-3.3704,-168.734,2,0,0,1640596874000.0
366,"Korea, South",,35.907757,127.766922,611670,5300,0,1640596874000.0
367,Kosovo,,42.602636,20.902977,161339,2990,0,1640596874000.0
368,Kuwait,,29.31166,47.481766,415151,2468,0,1640596874000.0
369,Kyrgyzstan,,41.20438,74.766098,184506,2797,0,1640596874000.0
370,Laos,,19.85627,102.495496,106231,325,0,1640596874000.0
371,Latvia,,56.8796,24.6032,271431,4503,0,1640596874000.0
372,Lebanon,,33.8547,35.8623,712570,9042,0,1640596874000.0
373,Lesotho,,-29.61,28.2336,28126,665,0,1640596874000.0
374,Liberia,,6.428055,-9.429499,5929,287,0,1640596874000.0
375,Libya,,26.3351,17.228331,385398,5651,0,1640596874000.0
376,Liechtenstein,,47.14,9.55,5934,69,0,1640596874000.0
377,Lithuania,,55.1694,23.8813,512224,7304,0,1640596874000.0
378,Luxembourg,,49.8153,6.1296,98983,907,0,1640596874000.0
379,MS Zaandam,,,,9,2,0,1640596874000.0
380,Madagascar,,-18.766947,46.869107,49590,1027,0,1640596874000.0
381,Malawi,,-13.2543,34.3015,71007,2332,0,1640596874000.0
382,Malaysia,Johor,1.4854,103.7618,243038,3848,0,1640596874000.0
383,Malaysia,Kedah,6.1184,100.3685,167104,2151,0,1640596874000.0
384,Malaysia,Kelantan,6.1254,102.2381,167099,1234,0,1640596874000.0
385,Malaysia,Melaka,2.1896,102.2501,75580,951,0,1640596874000.0
386,Malaysia,Negeri Sembilan,2.7258,101.9424,112945,1313,0,1640596874000.0
387,Malaysia,Pahang,3.8126,103.3256,94074,758,0,1640596874000.0
388,Malaysia,Perak,4.5921,101.0901,128176,1374,0,1640596874000.0
389,Malaysia,Perlis,6.4449,100.2048,7094,135,0,1640596874000.0
390,Malaysia,Pulau Pinang,5.4141,100.3288,160101,1735,0,1640596874000.0
391,Malaysia,Sabah,5.9788,116.0753,239590,2772,0,1640596874000.0
392,Malaysia,Sarawak,1.5533,110.3592,252199,1615,0,1640596874000.0
393,Malaysia,Selangor,3.0738,101.5183,782514,9916,0,1640596874000.0
394,Malaysia,Terengganu,5.3117,103.1324,81747,697,0,1640596874000.0
395,Malaysia,Unknown,,,0,0,0,1640596874000.0
396,Malaysia,W.P. Kuala Lumpur,3.139,101.6869,209840,2662,0,1640596874000.0
397,Malaysia,W.P. Labuan,5.2831,115.2308,10795,151,0,1640596874000.0
398,Malaysia,W.P. Putrajaya,2.9264,101.6964,9283,22,0,1640596874000.0
399,Maldives,,3.2028,73.2207,94864,261,0,1640596874000.0
400,Mali,,17.570692,-3.996166,20079,654,0,1640596874000.0
401,Malta,,35.9375,14.3754,46250,475,0,1640596874000.0
402,Marshall Islands,,7.1315,171.1845,4,0,0,1640596874000.0
403,Mauritania,,21.0079,-10.9408,40504,862,0,1640596874000.0
404,Mauritius,,-20.348404,57.552152,23208,240,0,1640596874000.0
405,Mexico,Aguascalientes,21.8853,-102.2916,38658,3022,0,1640596874000.0
406,Mexico,Baja California,30.8406,-115.2838,89763,10903,0,1640596874000.0
407,Mexico,Baja California Sur,26.0444,-111.6661,59251,2417,0,1640596874000.0
408,Mexico,Campeche,19.8301,-90.5349,24265,2106,0,1640596874000.0
409,Mexico,Chiapas,16.7569,-93.1292,23613,2296,0,1640596874000.0
410,Mexico,Chihuahua,28.633,-106.0691,79151,8650,0,1640596874000.0
411,Mexico,Ciudad de Mexico,19.4326,-99.1332,995257,40313,0,1640596874000.0
412,Mexico,Coahuila,27.0587,-101.7068,101108,7777,0,1640596874000.0
413,Mexico,Colima,19.1223,-104.0072,33450,2039,0,1640596874000.0
414,Mexico,Durango,24.5593,-104.6588,50729,3152,0,1640596874000.0
415,Mexico,Guanajuato,21.019,-101.2574,202145,13372,0,1640596874000.0
416,Mexico,Guerrero,17.4392,-99.5451,77425,6318,0,1640596874000.0
417,Mexico,Hidalgo,20.0911,-98.7624,63070,7902,0,1640596874000.0
418,Mexico,Jalisco,20.6595,-103.3494,165465,17772,0,1640596874000.0
419,Mexico,Mexico,19.4969,-99.7233,382312,44815,0,1640596874000.0
420,Mexico,Michoacan,19.5665,-101.7068,73838,8269,0,1640596874000.0
421,Mexico,Morelos,18.6813,-99.1013,51014,4956,0,1640596874000.0
422,Mexico,Nayarit,21.7514,-104.8455,34529,2909,0,1640596874000.0
423,Mexico,Nuevo Leon,25.5922,-99.9962,208910,13715,0,1640596874000.0
424,Mexico,Oaxaca,17.0732,-96.7266,83893,5651,0,1640596874000.0
425,Mexico,Puebla,19.0414,-98.2063,126388,15709,0,1640596874000.0
426,Mexico,Queretaro,20.5888,-100.3899,100007,5661,0,1640596874000.0
427,Mexico,Quintana Roo,19.1817,-88.4791,60492,4100,0,1640596874000.0
428,Mexico,San Luis Potosi,22.1565,-100.9855,107378,6808,0,1640596874000.0
429,Mexico,Sinaloa,25.1721,-107.4795,75465,8962,0,1640596874000.0
430,Mexico,Sonora,29.2972,-110.3309,122477,9066,0,1640596874000.0
431,Mexico,Tabasco,17.8409,-92.6189,144181,5754,0,1640596874000.0
432,Mexico,Tamaulipas,24.2669,-98.8363,104127,7112,0,1640596874000.0
433,Mexico,Tlaxcala,19.3139,-98.2404,29623,3000,0,1640596874000.0
434,Mexico,Unknown,,,0,0,0,1640596874000.0
435,Mexico,Veracruz,19.1738,-96.1342,124677,15088,0,1640596874000.0
