Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,39091.0,166.0,9127.0,366081.0,49882904.0,45651222.0,7293638.0,28_10_2021
United Kingdom,44000.0,207.0,9049.0,355173.0,49838202.0,45627499.0,6995982.0,27_10_2021
United Kingdom,43503.0,263.0,8944.0,328582.0,49794120.0,45605922.0,6706468.0,26_10_2021
United Kingdom,36283.0,38.0,8828.0,304247.0,49753037.0,45582891.0,6442000.0,25_10_2021
United Kingdom,38740.0,72.0,8504.0,214334.0,49715228.0,45561445.0,6197008.0,24_10_2021
United Kingdom,44985.0,135.0,8335.0,440764.0,49689481.0,45543363.0,6026503.0,23_10_2021
United Kingdom,48791.0,180.0,8343.0,371105.0,49649389.0,45513120.0,5656074.0,22_10_2021
United Kingdom,51548.0,117.0,8359.0,687752.0,49603139.0,45486950.0,5357389.0,21_10_2021
United Kingdom,48599.0,179.0,8265.0,332539.0,49554407.0,45460122.0,4745197.0,20_10_2021
United Kingdom,43411.0,223.0,8009.0,307744.0,49505327.0,45433757.0,4488103.0,19_10_2021
United Kingdom,48855.0,45.0,7860.0,241456.0,49462425.0,45400990.0,4256028.0,18_10_2021
United Kingdom,44696.0,57.0,7492.0,153134.0,49422753.0,45377411.0,4077823.0,17_10_2021
United Kingdom,42818.0,148.0,7221.0,368682.0,49404916.0,45360146.0,3959791.0,16_10_2021
United Kingdom,44251.0,142.0,7195.0,291083.0,49375917.0,45326663.0,3653591.0,15_10_2021
United Kingdom,44619.0,157.0,7182.0,310497.0,49335154.0,45297231.0,3432703.0,14_10_2021
United Kingdom,41501.0,136.0,7124.0,530030.0,49291665.0,45269240.0,3193686.0,13_10_2021
United Kingdom,37717.0,181.0,7110.0,227111.0,49252939.0,45239759.0,2731863.0,12_10_2021
United Kingdom,39588.0,28.0,7082.0,177340.0,49216092.0,45212813.0,2568545.0,11_10_2021
United Kingdom,33593.0,38.0,6928.0,135033.0,49186920.0,45189181.0,2444009.0,10_10_2021
United Kingdom,39413.0,156.0,6756.0,315681.0,49164814.0,45169730.0,2350533.0,09_10_2021
United Kingdom,34941.0,125.0,6812.0,234681.0,49133419.0,45136253.0,2099724.0,08_10_2021
United Kingdom,39767.0,122.0,6834.0,239314.0,49101734.0,45107185.0,1925796.0,07_10_2021
United Kingdom,38713.0,145.0,6885.0,223501.0,49068705.0,45078529.0,1748167.0,06_10_2021
United Kingdom,33079.0,166.0,6900.0,226019.0,49035877.0,45049953.0,1586070.0,05_10_2021
United Kingdom,34306.0,33.0,6824.0,190885.0,48994530.0,45021381.0,1429970.0,04_10_2021
United Kingdom,29666.0,43.0,6633.0,135173.0,48956859.0,44992044.0,1306093.0,03_10_2021
United Kingdom,29389.0,121.0,6475.0,259918.0,48932736.0,44970512.0,1216575.0,02_10_2021
United Kingdom,34610.0,127.0,6624.0,226381.0,48901670.0,44936121.0,1022114.0,01_10_2021
United Kingdom,35773.0,137.0,6792.0,937033.0,48863490.0,44901832.0,868202.0,30_09_2021
United Kingdom,35089.0,150.0,6936.0,65632.0,48829118.0,44867373.0,0.0,29_09_2021
United Kingdom,34604.0,167.0,7050.0,65385.0,48797579.0,44833280.0,0.0,28_09_2021
United Kingdom,37510.0,40.0,7067.0,58096.0,48765726.0,44799748.0,0.0,27_09_2021
United Kingdom,32997.0,63.0,6836.0,41523.0,48740807.0,44766571.0,0.0,26_09_2021
United Kingdom,29746.0,122.0,6975.0,71414.0,48724823.0,44741032.0,0.0,25_09_2021
United Kingdom,35659.0,180.0,6929.0,72376.0,48700527.0,44693914.0,0.0,24_09_2021
United Kingdom,35798.0,182.0,7180.0,69671.0,48672910.0,44649155.0,0.0,23_09_2021
United Kingdom,33585.0,166.0,7430.0,66726.0,48647827.0,44604567.0,0.0,22_09_2021
United Kingdom,31128.0,203.0,7637.0,63790.0,48625148.0,44560520.0,0.0,21_09_2021
United Kingdom,35768.0,49.0,7810.0,66492.0,48604764.0,44517114.0,0.0,20_09_2021
United Kingdom,29007.0,56.0,7759.0,48997.0,48584614.0,44470772.0,0.0,19_09_2021
United Kingdom,29438.0,164.0,7707.0,98695.0,48570774.0,44435615.0,0.0,18_09_2021
United Kingdom,32338.0,179.0,7918.0,81162.0,48544576.0,44363118.0,0.0,17_09_2021
United Kingdom,26375.0,158.0,8125.0,87024.0,48523798.0,44302734.0,0.0,16_09_2021
United Kingdom,29879.0,201.0,8407.0,87692.0,48500747.0,44238761.0,0.0,15_09_2021
United Kingdom,26288.0,185.0,8401.0,84370.0,48476345.0,44175471.0,0.0,14_09_2021
United Kingdom,30385.0,62.0,8478.0,80081.0,48458700.0,44108746.0,0.0,13_09_2021
United Kingdom,28614.0,56.0,8255.0,67570.0,48439272.0,44048093.0,0.0,12_09_2021
United Kingdom,28856.0,156.0,8145.0,125972.0,48424317.0,43995478.0,0.0,11_09_2021
United Kingdom,36777.0,147.0,8317.0,117875.0,48396404.0,43897419.0,0.0,10_09_2021
United Kingdom,37521.0,167.0,8146.0,122476.0,48370340.0,43805608.0,0.0,09_09_2021
United Kingdom,38510.0,191.0,8137.0,113091.0,48344566.0,43708906.0,0.0,08_09_2021
United Kingdom,37225.0,209.0,7981.0,112472.0,48319435.0,43620946.0,0.0,07_09_2021
United Kingdom,40938.0,45.0,8037.0,102713.0,48292811.0,43535098.0,0.0,06_09_2021
United Kingdom,36515.0,68.0,7751.0,94988.0,48270113.0,43455083.0,0.0,05_09_2021
United Kingdom,36642.0,120.0,7556.0,169607.0,48248318.0,43381890.0,0.0,04_09_2021
United Kingdom,42114.0,121.0,7671.0,145856.0,48207264.0,43253337.0,0.0,03_09_2021
United Kingdom,37870.0,178.0,7622.0,159377.0,48171998.0,43142747.0,0.0,02_09_2021
United Kingdom,35534.0,207.0,7682.0,157473.0,48131996.0,43023372.0,0.0,01_09_2021
United Kingdom,32053.0,50.0,7678.0,159301.0,48087908.0,42909987.0,0.0,31_08_2021
United Kingdom,26227.0,48.0,7340.0,86291.0,48048009.0,42790585.0,0.0,30_08_2021
United Kingdom,32937.0,61.0,7111.0,103830.0,48028366.0,42723937.0,0.0,29_08_2021
United Kingdom,32087.0,133.0,6980.0,176959.0,48003976.0,42644497.0,0.0,28_08_2021
United Kingdom,37738.0,100.0,7086.0,176393.0,47960705.0,42510809.0,0.0,27_08_2021
United Kingdom,38002.0,141.0,7032.0,200076.0,47915768.0,42379353.0,0.0,26_08_2021
United Kingdom,35584.0,149.0,6987.0,229781.0,47860628.0,42234417.0,0.0,25_08_2021
United Kingdom,30653.0,174.0,6961.0,186086.0,47792552.0,42072712.0,0.0,24_08_2021
United Kingdom,31798.0,41.0,7019.0,177684.0,47737142.0,41942036.0,0.0,23_08_2021
United Kingdom,31976.0,49.0,6749.0,156697.0,47690741.0,41810753.0,0.0,22_08_2021
United Kingdom,31783.0,104.0,6531.0,267887.0,47650396.0,41694401.0,0.0,21_08_2021
United Kingdom,37038.0,114.0,6520.0,228277.0,47577390.0,41499520.0,0.0,20_08_2021
United Kingdom,36421.0,114.0,6509.0,231038.0,47516505.0,41332128.0,0.0,19_08_2021
United Kingdom,33646.0,111.0,6465.0,216507.0,47460526.0,41157069.0,0.0,18_08_2021
United Kingdom,26628.0,170.0,6407.0,189699.0,47413242.0,40987846.0,0.0,17_08_2021
United Kingdom,28278.0,26.0,6383.0,174106.0,47369418.0,40841971.0,0.0,16_08_2021
United Kingdom,26440.0,59.0,6046.0,157640.0,47333702.0,40703581.0,0.0,15_08_2021
United Kingdom,29153.0,93.0,5885.0,246187.0,47302445.0,40577198.0,0.0,14_08_2021
United Kingdom,32426.0,100.0,5988.0,212075.0,47255842.0,40377614.0,0.0,13_08_2021
United Kingdom,32763.0,95.0,5960.0,236943.0,47215352.0,40206029.0,0.0,12_08_2021
United Kingdom,29289.0,104.0,6005.0,215329.0,47170968.0,40013470.0,0.0,11_08_2021
United Kingdom,23339.0,146.0,6020.0,188654.0,47129400.0,39839709.0,0.0,10_08_2021
United Kingdom,24962.0,37.0,6018.0,169278.0,47091889.0,39688566.0,0.0,09_08_2021
United Kingdom,27117.0,39.0,5857.0,144913.0,47059639.0,39551538.0,0.0,08_08_2021
United Kingdom,28233.0,103.0,5704.0,251573.0,47036796.0,39429468.0,0.0,07_08_2021
United Kingdom,31482.0,92.0,5753.0,205332.0,46998806.0,39215885.0,0.0,06_08_2021
United Kingdom,29873.0,87.0,5755.0,208192.0,46961830.0,39047529.0,0.0,05_08_2021
United Kingdom,29000.0,120.0,5792.0,199003.0,46926330.0,38874837.0,0.0,04_08_2021
United Kingdom,21693.0,140.0,6006.0,172051.0,46892996.0,38709168.0,0.0,03_08_2021
United Kingdom,21687.0,24.0,6215.0,152284.0,46863706.0,38566407.0,0.0,02_08_2021
